Order Date,Ship Date,Sales,Quantity,Discount,Profit
01/31/2023,02/07/2023,2772.542743000883,6,0.1,248.95467325243797
12/30/2023,01/06/2024,10258.895307220922,14,0.0,3485.30564848235
05/10/2022,05/13/2022,7750.567871498884,13,0.15,1456.3125734318553
07/18/2023,07/23/2023,686.910090492383,1,0.1,142.64918185592663
02/04/2023,02/05/2023,4628.801083391549,10,0.0,1798.313495593206
12/31/2022,01/05/2023,92.08185001848963,1,0.5,2.924744169133745
11/10/2022,11/14/2022,329.1566036361252,1,0.3,65.55329805048015
05/01/2020,05/04/2020,7295.7738188334615,14,0.2,1126.0528928198323
04/11/2021,04/14/2021,5512.555491652046,10,0.1,688.8269401135418
05/23/2023,05/27/2023,1117.435665510099,14,0.0,344.55802615413455
11/26/2020,11/27/2020,594.4232779309588,8,0.0,224.069680288024
03/28/2020,04/03/2020,7724.842022749278,8,0.0,2721.9950802859594
10/28/2023,11/01/2023,1795.2188854809815,14,0.2,106.8318276342939
01/28/2023,01/29/2023,2110.6248756012333,7,0.0,411.7127048101039
05/21/2022,05/23/2022,3233.8241768053363,6,0.3,339.759157165588
05/10/2020,05/17/2020,1662.3212202597726,4,0.0,451.2886081983742
08/25/2023,08/28/2023,170.68518425468915,1,0.1,18.45861856398845
02/08/2022,02/09/2022,3615.08444742313,9,0.15,339.831321116845
12/09/2020,12/14/2020,515.9344239501589,1,0.1,143.24884234099233
12/08/2023,12/15/2023,1283.0690409188255,4,0.3,216.96084818328535
03/16/2022,03/21/2022,1379.634922076082,3,0.5,140.39529796141508
01/20/2021,01/27/2021,2042.966115039565,7,0.0,776.0798066991277
04/30/2023,05/03/2023,3323.594195463371,5,0.0,639.7198791879462
08/13/2022,08/17/2022,605.8588709789937,5,0.0,216.82385606402588
10/03/2020,10/09/2020,1354.4328504971133,4,0.15,304.48129593929593
03/30/2023,04/03/2023,743.583319069124,1,0.0,288.0129651180243
04/04/2021,04/05/2021,930.2750847342832,5,0.2,75.93114256460753
08/30/2023,09/03/2023,2375.493340791474,4,0.0,429.73019098292644
01/22/2020,01/25/2020,1926.6416411119396,14,0.15,455.24236677192135
09/09/2020,09/10/2020,893.397395582059,10,0.2,248.83193026683594
01/17/2022,01/19/2022,6177.6049307987705,13,0.1,1837.0142852157965
05/06/2022,05/10/2022,4883.478380101212,8,0.1,1309.318507593721
04/19/2021,04/23/2021,244.46679114427724,2,0.0,52.85195016335364
12/18/2022,12/24/2022,7348.787918793487,8,0.0,2317.294767208089
05/25/2021,05/26/2021,210.16308606344296,1,0.1,61.01636987551397
11/30/2021,12/05/2021,1674.0822160101914,13,0.0,545.7268696347987
09/02/2022,09/06/2022,505.61260624010026,4,0.4,52.09996087185682
07/08/2020,07/11/2020,320.17811753974235,3,0.4,-27.49069312088791
08/15/2022,08/19/2022,349.18766437386824,5,0.3,51.64991177538343
11/17/2021,11/23/2021,10398.190951601964,13,0.0,2531.83884281279
08/15/2022,08/17/2022,2002.3295879866798,5,0.2,577.6135809968201
07/16/2021,07/22/2021,1973.1712298744799,5,0.0,556.7440056725912
06/21/2023,06/25/2023,11413.459772571503,12,0.0,3223.9391737440887
04/11/2022,04/16/2022,1509.1932127765715,4,0.0,600.9857238487881
02/28/2023,03/07/2023,1402.42399029374,8,0.0,179.61732750556675
10/08/2021,10/12/2021,843.9073890219909,3,0.0,154.34634531318756
01/21/2020,01/22/2020,2958.9224190325253,12,0.0,878.278690092772
